Date,Open,High,Low,Close
23-Jan-19,36494.12,36521.47,36037.9,36108.47
24-Jan-19,36146.55,36258.28,35996.68,36195.1
25-Jan-19,36245.77,36474.48,35953.15,36025.54
28-Jan-19,36099.62,36124.26,35565.15,35656.7
29-Jan-19,35716.72,35734.14,35375.51,35592.5
30-Jan-19,35819.67,35850.41,35490.97,35591.25
31-Jan-19,35805.51,36278.13,35740.07,36256.69
1-Feb-19,36311.74,36778.14,36221.32,36469.43
4-Feb-19,36456.22,36622.77,36225.48,36582.74
5-Feb-19,36573.04,36727.83,36495.83,36616.81
6-Feb-19,36714.54,37005.25,36680.88,36975.23
7-Feb-19,37026.56,37172.18,36898.8,36971.09
8-Feb-19,36873.59,36885.58,36480.62,36546.48
11-Feb-19,36585.5,36588.41,36300.48,36395.03
12-Feb-19,36405.72,36465.4,36113.91,36153.62
13-Feb-19,36279.63,36375.8,35962.68,36034.11
14-Feb-19,36065.08,36109.1,35799.42,35876.22
15-Feb-19,35985.68,36022.57,35510.97,35808.95
18-Feb-19,35831.18,35912.44,35470.76,35498.44
19-Feb-19,35543.24,35776.04,35287.16,35352.61
20-Feb-19,35564.93,35797.11,35469.49,35756.26
21-Feb-19,35837,35983.07,35707.29,35898.35
22-Feb-19,35906.01,35941.69,35795.79,35871.48
25-Feb-19,35983.8,36242.18,35901.06,36213.38
26-Feb-19,35975.75,36172.52,35714.16,35973.71
27-Feb-19,36138.83,36371.11,35735.33,35905.43
28-Feb-19,36025.72,36085.85,35829.15,35867.44
1-Mar-19,36018.49,36140.67,35952.41,36063.81
5-Mar-19,36141.07,36457.44,35926.94,36442.54
6-Mar-19,36544.86,36666.47,36456.82,36636.1
7-Mar-19,36744.02,36830.25,36590.88,36725.42
8-Mar-19,36753.59,36753.59,36592.93,36671.43
11-Mar-19,36741.57,37106.19,36726.39,37054.1
12-Mar-19,37249.65,37586.63,37230.85,37535.66
13-Mar-19,37608.29,37797.29,37478.87,37752.17
14-Mar-19,37840.64,37907.78,37693.69,37754.89
15-Mar-19,37760.23,38254.77,37760.23,38024.32
18-Mar-19,38132.96,38369.59,37952.1,38095.07
19-Mar-19,38218.59,38396.06,38078.23,38363.47
20-Mar-19,38433.86,38489.81,38316.21,38386.75
22-Mar-19,38452.47,38564.71,38089.36,38164.61
25-Mar-19,38016.76,38016.76,37667.4,37808.91
26-Mar-19,37886.29,38297.7,37800.08,38233.41
27-Mar-19,38372.03,38475.93,38001.34,38132.88
28-Mar-19,38208.3,38593.65,38148.44,38545.72
29-Mar-19,38675,38748.54,38546.68,38672.91
1-Apr-19,38858.88,39115.57,38808.74,38871.87
2-Apr-19,38988.57,39121.69,38846.96,39056.65
3-Apr-19,39167.05,39270.14,38826.56,38877.12
4-Apr-19,38935.75,38939.35,38581.04,38684.72
5-Apr-19,38839.52,38958.6,38701.04,38862.23
8-Apr-19,38993.6,39041.25,38520.96,38700.53
9-Apr-19,38730.93,38978.99,38598.72,38939.22
10-Apr-19,38898.6,38950.45,38542.28,38585.35
11-Apr-19,38621.58,38649.98,38460.25,38607.01
12-Apr-19,38692.06,38818.87,38554.79,38767.11
15-Apr-19,38805.54,38976.58,38780.08,38905.84
16-Apr-19,39040.3,39364.34,39038.81,39275.64
18-Apr-19,39420.04,39487.45,39083.16,39140.28
22-Apr-19,39158.22,39158.22,38585.65,38645.18
23-Apr-19,38771.27,38832.61,38518.26,38564.88
24-Apr-19,38672.63,39095.35,38571,39054.68
25-Apr-19,39101.78,39262.22,38663.98,38730.86
26-Apr-19,38865.83,39103.16,38765.33,39067.33
30-Apr-19,39056.92,39105.88,38753.46,39031.55
2-May-19,39036.51,39189.95,38882.99,38981.43
3-May-19,39009.55,39172.76,38920.17,38963.26
6-May-19,38719.33,38719.33,38509.79,38600.34
7-May-19,38815.46,38835.54,38236.18,38276.63
8-May-19,38244.18,38248.57,37743.07,37789.13
9-May-19,37747.91,37780.46,37405.4,37558.91
10-May-19,37632.36,37721.98,37370.39,37462.99
13-May-19,37491.3,37583.57,36999.84,37090.82
14-May-19,37146.58,37572.7,36956.1,37318.53
15-May-19,37539.05,37559.67,37047.87,37114.88
16-May-19,37179.13,37518.94,37052.3,37393.48
17-May-19,37494.42,38001.13,37415.36,37930.77
20-May-19,38701.18,39412.56,38570.04,39352.67
21-May-19,39449.45,39571.73,38884.85,38969.8
22-May-19,39086.21,39249.08,38903.87,39110.21
23-May-19,39591.77,40124.96,38651.61,38811.39
24-May-19,39076.28,39476.97,38824.26,39434.72
27-May-19,39536.23,39821.94,39353.16,39683.29
28-May-19,39765.64,39828.65,39498.65,39749.73
29-May-19,39714.27,39767.93,39420.5,39502.05
30-May-19,39580.28,39911.92,39500.56,39831.97
31-May-19,39998.91,40122.34,39374.24,39714.2
3-Jun-19,39806.86,40308.9,39711.02,40267.62
4-Jun-19,40196,40312.07,40031.05,40083.54
6-Jun-19,40136.43,40159.26,39481.15,39529.72
7-Jun-19,39581.77,39703.1,39279.47,39615.9
10-Jun-19,39787.33,39979.48,39619.97,39784.52
11-Jun-19,39900.45,40066.31,39760.02,39950.46
12-Jun-19,39974.18,39982.1,39623.53,39756.81
13-Jun-19,39679.35,39800.81,39461.27,39741.36
14-Jun-19,39797,39799.9,39363.45,39452.07
17-Jun-19,39514.36,39540.42,38911.49,38960.79
18-Jun-19,39056.98,39167.83,38870.96,39046.34
19-Jun-19,39176.56,39435.8,38881.05,39112.74
20-Jun-19,39042.96,39638.64,38933.78,39601.63
21-Jun-19,39608.25,39617.95,39121.3,39194.49
24-Jun-19,39160.23,39300.02,39021.7,39122.96
25-Jun-19,39131.94,39490.64,38946.04,39434.94
26-Jun-19,39379.13,39674.22,39319.64,39592.08
27-Jun-19,39633.97,39817.22,39510.44,39586.41
28-Jun-19,39630.52,39675.25,39361.92,39394.64
1-Jul-19,39543.73,39764.82,39541.09,39686.5
2-Jul-19,39811.68,39838.49,39499.19,39816.48
3-Jul-19,39907.57,39934.99,39732.38,39839.25
4-Jul-19,39917.65,39979.1,39858.33,39908.06
5-Jul-19,39990.4,40032.41,39441.38,39513.39
8-Jul-19,39476.38,39476.38,38605.48,38720.57
9-Jul-19,38754.47,38814.23,38435.87,38730.82
10-Jul-19,38701.99,38854.85,38474.66,38557.04
11-Jul-19,38751.62,38892.5,38631.31,38823.11
12-Jul-19,38941.1,39021.84,38684.85,38736.23
15-Jul-19,39009.95,39023.97,38696.6,38896.71
16-Jul-19,38961.86,39173.89,38845.27,39131.04
17-Jul-19,39171.1,39284.73,39081.14,39215.64
18-Jul-19,39204.47,39204.47,38861.25,38897.46
19-Jul-19,39058.73,39058.73,38271.35,38337.01
22-Jul-19,38333.52,38333.52,37890.32,38031.13
23-Jul-19,38138.56,38217.81,37898.9,37982.74
24-Jul-19,37990.23,38102.84,37708.41,37847.65
25-Jul-19,37935.02,38169.87,37775.51,37830.98
26-Jul-19,37831.18,37978.07,37690.47,37882.79
29-Jul-19,38043.22,38043.22,37519.16,37686.37
30-Jul-19,37735.54,37950.21,37359.03,37397.24
31-Jul-19,37257.55,37576.37,37128.26,37481.12
1-Aug-19,37387.18,37387.18,36694.18,37018.32
2-Aug-19,36920.11,37375.16,36607.41,37118.22
5-Aug-19,36842.17,36844.05,36416.79,36699.84
6-Aug-19,36568.03,37241.77,36536.59,36976.85
7-Aug-19,37025.27,37104.79,36610.57,36690.5
8-Aug-19,36808.01,37405.48,36655.41,37327.36
9-Aug-19,37521.3,37807.55,37406.26,37581.91
13-Aug-19,37755.16,37755.16,36888.49,36958.16
14-Aug-19,37233.5,37473.61,37000.77,37311.53
16-Aug-19,37383,37444.45,36974.41,37350.33
19-Aug-19,37485.92,37718.88,37358.49,37402.49
20-Aug-19,37441.75,37511.55,37219.9,37328.01
21-Aug-19,37298.73,37406.55,37022.52,37060.37
22-Aug-19,37087.58,37087.58,36391.35,36472.93
23-Aug-19,36387.68,36807.34,36102.35,36701.16
26-Aug-19,37363.95,37544.48,36492.65,37494.12
27-Aug-19,37658.48,37731.51,37449.69,37641.27
28-Aug-19,37655.77,37687.82,37249.19,37451.84
29-Aug-19,37381.8,37381.8,36987.35,37068.93
30-Aug-19,37222.26,37397.97,36829.81,37332.79
3-Sep-19,37181.76,37188.38,36466.01,36562.91
4-Sep-19,36575.24,36776.31,36409.54,36724.74
5-Sep-19,36821.71,36898.99,36541.88,36644.42
6-Sep-19,36785.59,37012.98,36727.66,36981.77
9-Sep-19,36969.48,37244.08,36784.47,37145.45
11-Sep-19,37251.03,37343.46,37193.57,37270.82
12-Sep-19,37330.47,37435.15,37048.67,37104.28
13-Sep-19,37175.86,37413.5,37000.09,37384.99
16-Sep-19,37204.56,37302.06,37028.94,27123.31
17-Sep-19,37169.46,37169.56,36419.09,36481.09
18-Sep-19,36621.38,36712.99,36465.92,36563.88
19-Sep-19,36613.93,36613.93,35987.8,36093.47
20-Sep-19,36214.92,38378.02,36085.74,38014.62
23-Sep-19,38844,39441.12,38674.04,39090.03
24-Sep-19,39135.28,39306.37,38913.06,39097.14
25-Sep-19,39087.2,39087.2,38510.97,38593.52
26-Sep-19,38700.48,39158.07,38676.11,38989.74
27-Sep-19,39003.13,39107.37,38782.6,38822.57
30-Sep-19,38873.12,38873.12,38401.09,38667.33
1-Oct-19,38813.48,38923.78,37929.89,38305.41
3-Oct-19,38137.87,38310.93,37957.56,38106.87
4-Oct-19,38401.49,38403.54,37633.36,37673.31
7-Oct-19,37853.8,37919.47,37480.53,37531.98
9-Oct-19,37628.05,38209.84,37415.83,38177.95
10-Oct-19,38130.23,38130.23,37802.93,37880.4
11-Oct-19,37994.48,38345.41,37737.85,38127.08
14-Oct-19,38208.24,38513.69,38066.13,38214.47
15-Oct-19,38316.49,38635.19,38238.27,38506.09
16-Oct-19,38637.05,38666.38,38416.67,38598.99
17-Oct-19,38647.44,39104.69,38557.43,29052.06
18-Oct-19,39087.83,39361.06,38963.6,39298.38
22-Oct-19,39233.4,39426.47,38924.85,38963.84
23-Oct-19,39063.84,39196.67,38866.08,39058.83
24-Oct-19,39223.01,39327.15,38840.76,39020.39
25-Oct-19,39201.67,39241.61,38718.27,39058.06
27-Oct-19,39397.37,39402.23,39180.39,39250.2
29-Oct-19,39293.49,39917.01,39254.12,39831.84
30-Oct-19,40055.63,40178.12,39805.11,40051.87
31-Oct-19,40211.99,40392.22,40054.89,40129.05
1-Nov-19,40196.07,40283.3,40014.23,40165.03
4-Nov-19,40293.85,40483.21,40186.29,40301.96
5-Nov-19,40445.67,40466.55,40053.55,40248.23
6-Nov-19,40311.85,40606.91,40037.53,40469.78
7-Nov-19,40625.64,40688.27,40421.07,40653.74
8-Nov-19,40630.56,40749.33,40263.94,40323.61
11-Nov-19,40316.5,40417.44,40150.97,40345.08
13-Nov-19,40346.43,40447.17,40061.23,40116.06
14-Nov-19,40178.93,40348.61,40026.99,40286.48
15-Nov-19,40408.2,40650.06,40308.09,40356.69
18-Nov-19,40431.08,40542.4,40221.97,40284.19
19-Nov-19,40455.36,40544.13,40290.21,40469.7
20-Nov-19,40729.8,40816.38,40575.96,40651.64
21-Nov-19,40737.31,40744.85,40534.12,40575.17
22-Nov-19,40653.17,40653.17,40276.83,40359.41
25-Nov-19,40439.66,40931.71,40393.9,40889.23
26-Nov-19,41022.85,41120.28,40710.2,40821.3
27-Nov-19,40979.39,41075.76,40848.7,41020.61
28-Nov-19,41161.54,41163.79,40996.08,41130.17
29-Nov-19,41138.26,41143.22,40664.18,40793.81
2-Dec-19,41072.94,41093.99,40707.63,40802.17
3-Dec-19,40852.61,40885.03,40554.04,20675.45
4-Dec-19,40606.01,40886.87,40475.83,40850.29
5-Dec-19,40988.14,41002.41,40720.17,40779.59
6-Dec-19,40952.13,40952.13,40337.53,20445.15
9-Dec-19,40527.24,40645.63,40336.56,40487.43
10-Dec-19,40588.81,40588.81,40208.7,40239.88
11-Dec-19,40285.2,40466.13,40135.37,40412.57
12-Dec-19,40561.34,40712.65,40490.69,40581.71
13-Dec-19,40754.82,41055.8,40736.7,41009.71
16-Dec-19,41168.85,41185.03,40917.93,40938.72
17-Dec-19,41052.36,41401.65,41005.18,41352.17
18-Dec-19,41442.75,41614.77,41358.47,41558.57
19-Dec-19,41571.82,41719.29,41456.4,41673.92
20-Dec-19,41746.2,41809.96,41636.11,41681.54
23-Dec-19,41548.26,41701.62,41474.61,41642.66
24-Dec-19,41684.51,41702.98,41423.07,41461.26
26-Dec-19,41543.8,41543.8,41132.89,41163.76
27-Dec-19,41297.08,41611.27,41264.92,41575.14
30-Dec-19,41686.27,41714.73,41453.38,41558
31-Dec-19,41607.49,41607.49,41184.73,41253.74
1-Jan-20,41349.36,41443.52,41251.18,41306.02
2-Jan-20,41340.27,41649.29,41328.45,41626.64
3-Jan-20,41634.51,41636.18,41348.68,41464.61
6-Jan-20,41378.34,41378.34,40613.96,40676.63
7-Jan-20,40983.04,41230.14,40727.37,40869.47
8-Jan-20,40574.83,40866.36,40476.55,40817.74
9-Jan-20,41216.67,41482.12,41175.72,41452.35
10-Jan-20,41568.2,41775.11,41447.8,41599.72
13-Jan-20,41788.21,41899.63,41720.76,41859.69
14-Jan-20,41883.09,41994.26,41770.9,41952.63
15-Jan-20,41969.86,41969.86,41648.11,41872.73
16-Jan-20,41924.74,42059.45,41812.28,41932.56
17-Jan-20,41929.02,42063.93,41850.29,41945.37
20-Jan-20,42263,42273.87,41503.37,41528.91
21-Jan-20,41487.57,41532.59,41294.3,41323.81
22-Jan-20,41467.13,41532.29,41059.04,41115.38
23-Jan-20,41191.5,41413.96,41098.91,41386.4
24-Jan-20,41377.04,41697.03,41275.6,41613.19
27-Jan-20,41510.68,41516.27,41122.48,41155.12
28-Jan-20,41299.68,41333.25,40869.75,40966.86
29-Jan-20,41131.57,41334.86,41108.19,41198.66
30-Jan-20,41380.14,41380.14,40829.91,40913.82
31-Jan-20,41146.56,41154.49,40671.01,40723.49
1-Feb-20,20753.18,40905.78,39631.24,39735.53
3-Feb-20,39701.02,40014.9,39563.07,39872.31
4-Feb-20,40178.74,40818.94,40117.46,40789.38
5-Feb-20,40921.71,41177,40703.32,41142.66
6-Feb-20,41209.13,41405.43,41113.11,41306.03
7-Feb-20,41394.41,41394.41,41073.36,41141.85
10-Feb-20,41166.72,41172.06,40798.98,40979.62
11-Feb-20,41183.39,41444.34,41179.14,41216.14
12-Feb-20,41330.85,41671.86,41330.85,41565.9
13-Feb-20,41707.21,41709.3,41338.31,41459.79
14-Feb-20,41510.19,41702.36,41183.13,41257.74
17-Feb-20,41324.04,41420.34,41030.58,41055.69
18-Feb-20,41042.46,41042.46,40610.95,40894.38
19-Feb-20,41121.51,41357.16,41048.93,41323
20-Feb-20,41334.96,41399.93,41134.31,41170.12
24-Feb-20,41037.01,41037.01,40306.36,40363.23
25-Feb-20,40497.72,40536,40220.59,40281.2
26-Feb-20,40194.89,40255.39,39760.39,39888.96
27-Feb-20,39947.8,39947.8,39423.27,39745.66
28-Feb-20,39087.47,39087.47,38219.97,38297.29
2-Mar-20,38910.95,39083.17,37785.99,38144.02
3-Mar-20,38480.89,38754.24,38142.3,38623.7
4-Mar-20,28715.72,38791.7,37846.1,38409.48
5-Mar-20,38604.25,38887.8,38386.68,38470.61
6-Mar-20,37613.96,37747.07,37011.09,37576.62
9-Mar-20,36950.2,36950.2,35109.18,35634.95
11-Mar-20,35468.9,36021.51,35261.92,35697.4
12-Mar-20,34472.5,34472.5,32493.1,32778.14
13-Mar-20,31214.13,34769.48,29388.97,34103.48
16-Mar-20,33103.24,33103.24,31276.3,31390.07
17-Mar-20,31611.57,32047.98,30394.94,30579.09
18-Mar-20,30968.84,31101.77,28613.05,28869.51
19-Mar-20,27773.36,29370.53,26714.46,28288.23
20-Mar-20,28460.82,30418.2,27932.67,29915.96
23-Mar-20,27608.8,27900.83,25880.83,25981.24
24-Mar-20,27056.23,27462.87,25638.9,26674.03
25-Mar-20,26499.81,28790.19,26359.91,28535.78
26-Mar-20,29073.71,30099.91,28566.34,29946.77
27-Mar-20,30747.81,31126.03,29346.99,29815.59
30-Mar-20,29226.55,29497.57,28290.99,28440.32
31-Mar-20,29294.94,29770.88,28667.36,29468.49
1-Apr-20,29505.33,29505.98,28073.43,28265.31
3-Apr-20,28623.53,28639.12,27500.79,27590.95
7-Apr-20,28898.36,30157.65,28602.31,30067.21
8-Apr-20,29701.92,31227.97,29602.94,29893.96
9-Apr-20,30571.19,31225.2,30420.22,31159.62
13-Apr-20,31195.72,31195.72,30474.15,30690.02
15-Apr-20,31277.11,31568.36,30222.07,30379.81
16-Apr-20,30095.51,30800.2,30016.17,30602.61
17-Apr-20,31656.68,31718.73,30960.94,31588.72
20-Apr-20,32056.19,32056.47,31490.26,31648
21-Apr-20,30836.19,30900.12,30378.26,30636.71
22-Apr-20,30856.14,31471.14,30578.55,31379.55
23-Apr-20,31646.45,31959.02,31292.92,31863.08
24-Apr-20,31426.62,31842.24,31278.27,31327.22
27-Apr-20,31659.04,32103.7,31651.58,31743.08
28-Apr-20,32101.91,32199.91,31661.34,32114.52
29-Apr-20,32311.04,32897.59,32171.65,32720.16
30-Apr-20,33381.19,33887.25,33354.93,33717.62
4-May-20,32748.14,32748.14,31632.02,31715.35
5-May-20,32182.9,32264,31403.57,31453.51
6-May-20,31577.63,31970.84,31158.75,31685.75
7-May-20,31677.69,31705.25,31362.87,31443.38
8-May-20,32083.32,32088.51,31598,31642.7
11-May-20,32030.34,32301.58,31500.87,31561.22
12-May-20,31342.93,31536.89,30844.66,31371.12
13-May-20,32841.87,32845.48,31901.92,32008.61
14-May-20,31466.33,31630.94,31052.65,31122.89
15-May-20,31296.28,31296.28,30770.48,31097.73
18-May-20,31248.26,31248.26,29968.45,30028.98
19-May-20,30450.74,30739.96,30116.82,30196.17
20-May-20,30159.59,30878.31,30157.75,30818.61
21-May-20,30904.29,31188.79,30765.32,30932.9
22-May-20,30822.78,31107.91,30474.88,30672.59
26-May-20,30864.27,31086.7,30512.14,30609.3
27-May-20,30793.11,31660.6,30525.68,31605.22
28-May-20,31827.8,32267.23,31641.77,32200.59
29-May-20,32041.29,32480.52,31823.8,32424.1
1-Jun-20,32906.05,33673.83,32876.55,33303.52
2-Jun-20,33450.19,33866.63,33301.29,33825.53
3-Jun-20,34185.41,34488.69,34027.5,34109.54
4-Jun-20,34072.5,34310.14,33711.24,33980.7
5-Jun-20,34198.55,34405.43,33958.02,34287.24
8-Jun-20,34841.17,34927.8,34211.83,34370.58
9-Jun-20,34520.79,34811.29,33881.19,33956.69
10-Jun-20,34029.14,34350.17,33949.46,34247.05
11-Jun-20,34214.69,34219.39,33480.42,33538.37
12-Jun-20,32436.69,33856.27,32348.1,33780.89
15-Jun-20,33670.55,33670.55,32923.74,33228.8
16-Jun-20,23853.72,34022.01,32953.3,33605.22
17-Jun-20,33438.31,33933.66,33332.96,33507.92
18-Jun-20,33371.52,34276.01,33371.52,34208.05
19-Jun-20,34335.38,34848.37,34136.39,34731.73
22-Jun-20,34892.03,35213.52,34794.4,34911.32
23-Jun-20,35015.73,35482.16,34843.69,35430.43
24-Jun-20,35679.74,35706.55,34794.93,34868.98
25-Jun-20,34525.39,35081.61,34499.78,34842.1
26-Jun-20,35144.78,35254.88,34910.34,35171.27
29-Jun-20,34926.95,35032.36,34662.06,34961.52
30-Jun-20,35168.3,35233.91,34812.8,34915.8
1-Jul-20,35009.59,35467.23,34927.2,35414.45
2-Jul-20,35604,36014.92,35595.36,35843.7
3-Jul-20,36025.38,36110.21,35872.38,36021.42
6-Jul-20,36313.46,36661.66,36254.02,36487.28
7-Jul-20,36660.35,36723.27,36271.09,36674.52
8-Jul-20,36738.38,36828.43,36234.17,36329.01
9-Jul-20,36450.69,36806.3,36422.3,36737.69
10-Jul-20,26555.13,36748.89,36401.11,36594.33
13-Jul-20,36880.66,37024.2,36533.96,36693.69
14-Jul-20,36517.28,36538.1,35877.42,36033.06
15-Jul-20,36314.76,36810.25,35894.96,36051.81
16-Jul-20,36401.2,36524.62,36038.41,36471.68
17-Jul-20,36547.75,37125.98,36512.92,37020.14
20-Jul-20,37409.03,37478.87,37185.78,37418.99
21-Jul-20,37823.61,37990.55,37742.05,37930.33
22-Jul-20,38178.07,38199.27,37601.62,37871.52
23-Jul-20,37814.92,38225.03,37738.59,38140.47
24-Jul-20,37949.59,38235.73,37748.41,38128.9
27-Jul-20,38275.34,38275.34,37769.44,37934.73
28-Jul-20,38052.18,38554.72,37998.13,38492.95
29-Jul-20,38427.15,38617.03,37884.41,38071.13
30-Jul-20,38262.83,38413.81,37678.42,37736.07
31-Jul-20,37847.88,37897.78,37431.68,37606.89
3-Aug-20,27595.73,37596.02,36911.23,36939.6
4-Aug-20,37092.86,37745.6,36987.73,37687.91
5-Aug-20,37892.36,38139.96,37550.6,37663.33
6-Aug-20,27946.8,38221.4,37755.1,38025.45
7-Aug-20,37951.07,38109.68,37787.38,38040.57
10-Aug-20,38168.42,38430.69,38073.29,38182.08
11-Aug-20,38371.34,38556.27,38313.06,38407.01
12-Aug-20,28321.13,38414.37,38125.81,38369.63
13-Aug-20,38456.64,38516.85,38215.05,38310.49
14-Aug-20,38432.94,38540.57,37654.92,37877.34
17-Aug-20,38062.07,38119.38,37734.14,38050.78
18-Aug-20,38084.7,38571.23,38062.01,38528.32
19-Aug-20,38727.89,38788.51,38550.65,38614.79
20-Aug-20,38283.9,38402.45,38155.78,38220.39
21-Aug-20,38471.93,38579.83,38411.37,38434.72
24-Aug-20,38566.96,38894.94,38545.76,38799.08
25-Aug-20,28948.46,39008.89,38679.67,38843.88
26-Aug-20,38930.18,39111.55,38765.09,39073.92
27-Aug-20,39293.53,39326.98,39046.94,39113.47
28-Aug-20,39264.48,39579.58,39235.03,39467.31
31-Aug-20,29888.15,40010.17,38395.89,38628.29
